Thomas S. Huang , Xiang Sean Zhou
Xu Liang , Yao Liang
Lei Xu , Zhiyong Liu
Katia Kermanidis , Manolis Maragoudakis
Manolis Maragoudakis , Nikos Fakotakis
George K. Kokkinakis , Manolis Maragoudakis
Katia Kermanidis , Nikos Fakotakis
George K. Kokkinakis , Katia Kermanidis
George K. Kokkinakis , Nikos Fakotakis
Petri Myllym&auml;ki , Tomi Silander
Henry Tirri , Petri Myllym&auml;ki
Pekka Uronen , Petri Myllym&auml;ki
Henry Tirri , Tomi Silander
Pekka Uronen , Tomi Silander
Henry Tirri , Pekka Uronen
Tadashi Nomoto , Yuji Matsumoto
Carlos Ordonez , Edward Omiecinski
Carlos Ordonez , Norberto F. Ezquerra
Edward Omiecinski , Norberto F. Ezquerra
Guillermo S&aacute;nchez-D&iacute;az , Jos&eacute; Ruiz-Shulcloper
Christian Decomain , Tobias Scheffer
Stefan Wrobel , Tobias Scheffer
Christian Decomain , Stefan Wrobel
Guy W. Mineau , Pascal Soucy
Richard Wherry , Sam Steingold
Gregory Piatetsky-Shapiro , Sam Steingold
Gregory Piatetsky-Shapiro , Richard Wherry
Fengzhan Tian , Hongwei Zhang
Fengzhan Tian , Yuchang Lu
Chunyi Shi , Fengzhan Tian
Hongwei Zhang , Yuchang Lu
Chunyi Shi , Hongwei Zhang
Chunyi Shi , Yuchang Lu
Ching-Chi Hsu , Fan-Chen Tseng
Fan-Chen Tseng , Henry Chen
Ching-Chi Hsu , Henry Chen
Hui Wang , Ivo D&uuml;ntsch
David A. Bell , Hui Wang
Dayou Liu , Hui Wang
David A. Bell , Ivo D&uuml;ntsch
Dayou Liu , Ivo D&uuml;ntsch
David A. Bell , Dayou Liu
Lei Wang , Licheng Jiao
Show-Jane Yen , Yue-Shi Lee
Mohammad El-Hajj , Osmar R. Za&iuml;ane
Osmar R. Za&iuml;ane , Paul Lu
Mohammad El-Hajj , Paul Lu
Bernard Zenko , Ljupco Todorovski
Bernard Zenko , Saso Dzeroski
Ljupco Todorovski , Saso Dzeroski
Du Zhang , Quoc Luan Ha
Du Zhang , Meiliu Lu
Meiliu Lu , Quoc Luan Ha
Qinghua Zou , Wesley W. Chu
David B. Johnson , Qinghua Zou
Henry Chiu , Qinghua Zou
David B. Johnson , Wesley W. Chu
Henry Chiu , Wesley W. Chu
David B. Johnson , Henry Chiu
Meichun Hsu , Umeshwar Dayal
Rivka Ladin , Umeshwar Dayal
Meichun Hsu , Rivka Ladin
Guy M. Lohman , Michael Stillger
Michael Stillger , Volker Markl
Michael Stillger , Mokhtar Kandil
Guy M. Lohman , Volker Markl
Guy M. Lohman , Mokhtar Kandil
Mokhtar Kandil , Volker Markl
Mihnea Andrei , Patrick Valduriez
Bj&ouml;rn Blohsfeld , Jochen Van den Bercken
Jens-Peter Dittrich , Jochen Van den Bercken
J&uuml;rgen Kr&auml;mer , Jochen Van den Bercken
Jochen Van den Bercken , Tobias Sch&auml;fer
Jochen Van den Bercken , Martin Schneider
Bernhard Seeger , Jochen Van den Bercken
Bj&ouml;rn Blohsfeld , Jens-Peter Dittrich
Bj&ouml;rn Blohsfeld , J&uuml;rgen Kr&auml;mer
Bj&ouml;rn Blohsfeld , Tobias Sch&auml;fer
Bj&ouml;rn Blohsfeld , Martin Schneider
Bernhard Seeger , Bj&ouml;rn Blohsfeld
J&uuml;rgen Kr&auml;mer , Jens-Peter Dittrich
Jens-Peter Dittrich , Tobias Sch&auml;fer
Jens-Peter Dittrich , Martin Schneider
Bernhard Seeger , Jens-Peter Dittrich
J&uuml;rgen Kr&auml;mer , Tobias Sch&auml;fer
J&uuml;rgen Kr&auml;mer , Martin Schneider
Bernhard Seeger , J&uuml;rgen Kr&auml;mer
Martin Schneider , Tobias Sch&auml;fer
Bernhard Seeger , Tobias Sch&auml;fer
Bernhard Seeger , Martin Schneider
Jayant Madhavan , Philip A. Bernstein
Erhard Rahm , Jayant Madhavan
Erhard Rahm , Philip A. Bernstein
Alon Y. Halevy , Rada Chirkova
Dan Suciu , Rada Chirkova
Alon Y. Halevy , Dan Suciu
Ravi Kumar , Stephen Dill
Kevin S. McCurley , Stephen Dill
Sridhar Rajagopalan , Stephen Dill
D. Sivakumar , Stephen Dill
Andrew Tomkins , Stephen Dill
Kevin S. McCurley , Ravi Kumar
Ravi Kumar , Sridhar Rajagopalan
D. Sivakumar , Ravi Kumar
Andrew Tomkins , Ravi Kumar
Kevin S. McCurley , Sridhar Rajagopalan
D. Sivakumar , Kevin S. McCurley
Andrew Tomkins , Kevin S. McCurley
D. Sivakumar , Sridhar Rajagopalan
Andrew Tomkins , Sridhar Rajagopalan
Andrew Tomkins , D. Sivakumar
Anna C. Gilbert , Yannis Kotidis
Anna C. Gilbert , S. Muthukrishnan
Anna C. Gilbert , Martin Strauss
S. Muthukrishnan , Yannis Kotidis
Martin Strauss , Yannis Kotidis
Martin Strauss , S. Muthukrishnan
Amihood Amir , Reuven Kashi
Amihood Amir , Nathan S. Netanyahu
Nathan S. Netanyahu , Reuven Kashi
Ioana Stanoi , Mirek Riedewald
Divyakant Agrawal , Ioana Stanoi
Amr El Abbadi , Ioana Stanoi
Divyakant Agrawal , Mirek Riedewald
Amr El Abbadi , Mirek Riedewald
Amr El Abbadi , Divyakant Agrawal
Giansalvatore Mecca , Valter Crescenzi
Paolo Merialdo , Valter Crescenzi
Giansalvatore Mecca , Paolo Merialdo
Robert Baumgartner , Sergio Flesca
Georg Gottlob , Robert Baumgartner
Georg Gottlob , Sergio Flesca
Hector Garcia-Molina , Sriram Raghavan
Ela Hunt , Malcolm P. Atkinson
Ela Hunt , Robert W. Irving
Malcolm P. Atkinson , Robert W. Irving
Amit Somani , Rakesh Agrawal
Rakesh Agrawal , Yirong Xu
Amit Somani , Yirong Xu
Daniela Grigori , Fabio Casati
Daniela Grigori , Umeshwar Dayal
Daniela Grigori , Ming-Chien Shan
Fabio Casati , Umeshwar Dayal
Fabio Casati , Ming-Chien Shan
Ming-Chien Shan , Umeshwar Dayal
Anastassia Ailamaki , David J. DeWitt
Anastassia Ailamaki , Mark D. Hill
Anastassia Ailamaki , Marios Skounakis
David J. DeWitt , Mark D. Hill
David J. DeWitt , Marios Skounakis
Marios Skounakis , Mark D. Hill
Sang Kyun Cha , Sangyong Hwang
Kihong Kim , Sang Kyun Cha
Keunjoo Kwon , Sang Kyun Cha
Kihong Kim , Sangyong Hwang
Keunjoo Kwon , Sangyong Hwang
Keunjoo Kwon , Kihong Kim
Jeffrey F. Naughton , Qiong Luo
Ilaria Bartolini , Paolo Ciaccia
Florian Waas , Ilaria Bartolini
Florian Waas , Paolo Ciaccia
Klemens B&ouml;hm , Michael Mlivoncic
Hans-J&ouml;rg Schek , Klemens B&ouml;hm
Klemens B&ouml;hm , Roger Weber
Hans-J&ouml;rg Schek , Michael Mlivoncic
Michael Mlivoncic , Roger Weber
Hans-J&ouml;rg Schek , Roger Weber
M. Tamer &Ouml;zsu , Shu Lin
Shu Lin , Vincent Oria
Raymond T. Ng , Shu Lin
M. Tamer &Ouml;zsu , Vincent Oria
M. Tamer &Ouml;zsu , Raymond T. Ng
Raymond T. Ng , Vincent Oria
Masatoshi Yoshikawa , Yasushi Sakurai
Ryoji Kataoka , Yasushi Sakurai
Shunsuke Uemura , Yasushi Sakurai
Masatoshi Yoshikawa , Ryoji Kataoka
Masatoshi Yoshikawa , Shunsuke Uemura
Ryoji Kataoka , Shunsuke Uemura
Daniela Florescu , Ioana Manolescu
Donald Kossmann , Ioana Manolescu
Daniela Florescu , Donald Kossmann
Leonidas Fegaras , Ramez Elmasri
Jayavel Shanmugasundaram , Jerry Kiernan
Eugene J. Shekita , Jayavel Shanmugasundaram
Catalina Fan , Jayavel Shanmugasundaram
Jayavel Shanmugasundaram , John E. Funderburk
Eugene J. Shekita , Jerry Kiernan
Catalina Fan , Jerry Kiernan
Jerry Kiernan , John E. Funderburk
Catalina Fan , Eugene J. Shekita
Eugene J. Shekita , John E. Funderburk
Catalina Fan , John E. Funderburk
Pierangelo Veltri , Sophie Cluet
Dan Vodislav , Sophie Cluet
Dan Vodislav , Pierangelo Veltri
Apostol Natsev , Yuan-Chi Chang
Apostol Natsev , John R. Smith
Apostol Natsev , Chung-Sheng Li
Apostol Natsev , Jeffrey Scott Vitter
John R. Smith , Yuan-Chi Chang
Chung-Sheng Li , Yuan-Chi Chang
Jeffrey Scott Vitter , Yuan-Chi Chang
Chung-Sheng Li , John R. Smith
Jeffrey Scott Vitter , John R. Smith
Chung-Sheng Li , Jeffrey Scott Vitter
Shu-Yao Chien , Vassilis J. Tsotras
Carlo Zaniolo , Shu-Yao Chien
Carlo Zaniolo , Vassilis J. Tsotras
Kian-Lee Tan , Pin-Kwang Eng
Beng Chin Ooi , Kian-Lee Tan
Beng Chin Ooi , Pin-Kwang Eng
Christos Faloutsos , Dimitris Margaritis
Dimitris Margaritis , Sebastian Thrun
Christos Faloutsos , Sebastian Thrun
Guozhu Dong , Jiawei Han
Guozhu Dong , Joyce M. W. Lam
Guozhu Dong , Jian Pei
Guozhu Dong , Ke Wang
Jiawei Han , Joyce M. W. Lam
Jian Pei , Jiawei Han
Jiawei Han , Ke Wang
Jian Pei , Joyce M. W. Lam
Joyce M. W. Lam , Ke Wang
Jian Pei , Ke Wang
Alexandros Nanopoulos , Yannis Theodoridis
Alexandros Nanopoulos , Yannis Manolopoulos
Yannis Manolopoulos , Yannis Theodoridis
Brian F. Cooper , Neal Sample
Brian F. Cooper , Michael J. Franklin
Brian F. Cooper , G&iacute;sli R. Hjaltason
Brian F. Cooper , Moshe Shadmon
Michael J. Franklin , Neal Sample
G&iacute;sli R. Hjaltason , Neal Sample
Moshe Shadmon , Neal Sample
G&iacute;sli R. Hjaltason , Michael J. Franklin
Michael J. Franklin , Moshe Shadmon
G&iacute;sli R. Hjaltason , Moshe Shadmon
Ambuj K. Singh , Tamer Kahveci
Bongki Moon , Quanzhong Li
Daniela Florescu , Helena Galhardas
Dennis Shasha , Helena Galhardas
Eric Simon , Helena Galhardas
Cristian-Augustin Saita , Helena Galhardas
Daniela Florescu , Dennis Shasha
Daniela Florescu , Eric Simon
Cristian-Augustin Saita , Daniela Florescu
Dennis Shasha , Eric Simon
Cristian-Augustin Saita , Dennis Shasha
Cristian-Augustin Saita , Eric Simon
Joseph M. Hellerstein , Vijayshankar Raman
Alexandros Labrinidis , Nick Roussopoulos
Jason Chionh , Lidan Shou
Lidan Shou , Zhiyong Huang
Lidan Shou , Yixin Ruan
Kian-Lee Tan , Lidan Shou
Jason Chionh , Zhiyong Huang
Jason Chionh , Yixin Ruan
Jason Chionh , Kian-Lee Tan
Yixin Ruan , Zhiyong Huang
Kian-Lee Tan , Zhiyong Huang
Kian-Lee Tan , Yixin Ruan
Anand Sivasubramaniam , Ning An
Narayanan Vijaykrishnan , Ning An
Mahmut T. Kandemir , Ning An
Mary Jane Irwin , Ning An
Ning An , Sudhanva Gurumurthi
Anand Sivasubramaniam , Narayanan Vijaykrishnan
Anand Sivasubramaniam , Mahmut T. Kandemir
Anand Sivasubramaniam , Mary Jane Irwin
Anand Sivasubramaniam , Sudhanva Gurumurthi
Mahmut T. Kandemir , Narayanan Vijaykrishnan
Mary Jane Irwin , Narayanan Vijaykrishnan
Narayanan Vijaykrishnan , Sudhanva Gurumurthi
Mahmut T. Kandemir , Mary Jane Irwin
Mahmut T. Kandemir , Sudhanva Gurumurthi
Mary Jane Irwin , Sudhanva Gurumurthi
Beng Chin Ooi , Cui Yu
Cui Yu , Kian-Lee Tan
Cui Yu , H. V. Jagadish
Beng Chin Ooi , Kian-Lee Tan
Beng Chin Ooi , H. V. Jagadish
H. V. Jagadish , Kian-Lee Tan
Dimitris Papadias , Yufei Tao
Christian S. Jensen , David B. Lomet
Rune Humborstad , Svein Erik Bratsberg
Bernhard Seeger , Jochen Van den Bercken
Jennifer Widom , Yingwei Cui
Luis Gravano , Panagiotis G. Ipeirotis
H. V. Jagadish , Luis Gravano
Luis Gravano , Nick Koudas
Luis Gravano , S. Muthukrishnan
Divesh Srivastava , Luis Gravano
H. V. Jagadish , Panagiotis G. Ipeirotis
Nick Koudas , Panagiotis G. Ipeirotis
Panagiotis G. Ipeirotis , S. Muthukrishnan
Divesh Srivastava , Panagiotis G. Ipeirotis
H. V. Jagadish , Nick Koudas
H. V. Jagadish , S. Muthukrishnan
Divesh Srivastava , H. V. Jagadish
Nick Koudas , S. Muthukrishnan
Divesh Srivastava , Nick Koudas
Divesh Srivastava , S. Muthukrishnan
Michael J. Franklin , Tolga Urhan
Masahiko Tsukamoto , Rie Sawai
Rie Sawai , Yin-Huei Loh
Rie Sawai , Tsutomu Terada
Rie Sawai , Shojiro Nishio
Masahiko Tsukamoto , Yin-Huei Loh
Masahiko Tsukamoto , Tsutomu Terada
Masahiko Tsukamoto , Shojiro Nishio
Tsutomu Terada , Yin-Huei Loh
Shojiro Nishio , Yin-Huei Loh
Shojiro Nishio , Tsutomu Terada
Chin-Wan Chung , Seok-Ju Chun
Ju-Hong Lee , Seok-Ju Chun
Seok-Ju Chun , Seok-Lyong Lee
Chin-Wan Chung , Ju-Hong Lee
Chin-Wan Chung , Seok-Lyong Lee
Ju-Hong Lee , Seok-Lyong Lee
Gayatri Sathe , Sunita Sarawagi
Alfons Kemper , Christian Wiesner
Beverly Yang , Hector Garcia-Molina
Demet Aksoy , Michael J. Franklin
Demet Aksoy , Stanley B. Zdonik
Michael J. Franklin , Stanley B. Zdonik
Am&eacute;lie Marian , Serge Abiteboul
Am&eacute;lie Marian , Gregory Cobena
Am&eacute;lie Marian , Laurent Mignet
Gregory Cobena , Serge Abiteboul
Laurent Mignet , Serge Abiteboul
Gregory Cobena , Laurent Mignet
Alaa R. Alameldeen , Ashraf Aboulnaga
Ashraf Aboulnaga , Jeffrey F. Naughton
Alaa R. Alameldeen , Jeffrey F. Naughton
Georg Lausen , Pedro Jos&eacute; Marr&oacute;n
Andrew Witkowski , William O'Connell
Goetz Graefe , William O'Connell
Andrew Witkowski , Goetz Graefe
Serge Abiteboul , Shalom Tsur
Rakesh Agrawal , Shalom Tsur
Shalom Tsur , Umeshwar Dayal
Johannes Klein , Shalom Tsur
Gerhard Weikum , Shalom Tsur
Rakesh Agrawal , Serge Abiteboul
Serge Abiteboul , Umeshwar Dayal
Johannes Klein , Serge Abiteboul
Gerhard Weikum , Serge Abiteboul
Rakesh Agrawal , Umeshwar Dayal
Johannes Klein , Rakesh Agrawal
Gerhard Weikum , Rakesh Agrawal
Johannes Klein , Umeshwar Dayal
Gerhard Weikum , Umeshwar Dayal
Gerhard Weikum , Johannes Klein
Banu &Ouml;zden , Eran Gabber
Banu &Ouml;zden , Bruce Hillyer
Banu &Ouml;zden , Wee Teck Ng
Banu &Ouml;zden , Elizabeth A. M. Shriver
Banu &Ouml;zden , David J. DeWitt
Banu &Ouml;zden , Bruce Gordon
Banu &Ouml;zden , Jim Gray
Banu &Ouml;zden , John Wilkes
Bruce Hillyer , Eran Gabber
Eran Gabber , Wee Teck Ng
Elizabeth A. M. Shriver , Eran Gabber
David J. DeWitt , Eran Gabber
Bruce Gordon , Eran Gabber
Eran Gabber , Jim Gray
Eran Gabber , John Wilkes
Bruce Hillyer , Wee Teck Ng
Bruce Hillyer , Elizabeth A. M. Shriver
Bruce Hillyer , David J. DeWitt
Bruce Gordon , Bruce Hillyer
Bruce Hillyer , Jim Gray
Bruce Hillyer , John Wilkes
Elizabeth A. M. Shriver , Wee Teck Ng
David J. DeWitt , Wee Teck Ng
Bruce Gordon , Wee Teck Ng
Jim Gray , Wee Teck Ng
John Wilkes , Wee Teck Ng
David J. DeWitt , Elizabeth A. M. Shriver
Bruce Gordon , Elizabeth A. M. Shriver
Elizabeth A. M. Shriver , Jim Gray
Elizabeth A. M. Shriver , John Wilkes
Bruce Gordon , David J. DeWitt
David J. DeWitt , Jim Gray
David J. DeWitt , John Wilkes
Bruce Gordon , Jim Gray
Bruce Gordon , John Wilkes
Jim Gray , John Wilkes
Ahmed K. Elmagarmid , Athman Bouguettaya
Athman Bouguettaya , Brahim Medjahed
Athman Bouguettaya , Mourad Ouzzani
Ahmed K. Elmagarmid , Brahim Medjahed
Ahmed K. Elmagarmid , Mourad Ouzzani
Brahim Medjahed , Mourad Ouzzani
Angela Bonifati , Fabio Casati
Angela Bonifati , Umeshwar Dayal
Angela Bonifati , Ming-Chien Shan
Fabio Casati , Umeshwar Dayal
Fabio Casati , Ming-Chien Shan
Ming-Chien Shan , Umeshwar Dayal
Carlo Zaniolo , Reza Sadri
Amir M. Zarkesh , Reza Sadri
Jafar Adibi , Reza Sadri
Amir M. Zarkesh , Carlo Zaniolo
Carlo Zaniolo , Jafar Adibi
Amir M. Zarkesh , Jafar Adibi
Craig J. Bunker , Latha S. Colby
Craig J. Bunker , Richard L. Cole
Craig J. Bunker , William J. McKenna
Craig J. Bunker , Gopal Mulagund
Craig J. Bunker , David Wilhite
Latha S. Colby , Richard L. Cole
Latha S. Colby , William J. McKenna
Gopal Mulagund , Latha S. Colby
David Wilhite , Latha S. Colby
Richard L. Cole , William J. McKenna
Gopal Mulagund , Richard L. Cole
David Wilhite , Richard L. Cole
Gopal Mulagund , William J. McKenna
David Wilhite , William J. McKenna
David Wilhite , Gopal Mulagund
Mani Abrol , Neil Latarche
Mani Abrol , Uma Mahadevan
Jianchang Mao , Mani Abrol
Mani Abrol , Rajat Mukherjee
Mani Abrol , Prabhakar Raghavan
Mani Abrol , Michel Tourn
John Wang , Mani Abrol
Grace Zhang , Mani Abrol
Neil Latarche , Uma Mahadevan
Jianchang Mao , Neil Latarche
Neil Latarche , Rajat Mukherjee
Neil Latarche , Prabhakar Raghavan
Michel Tourn , Neil Latarche
John Wang , Neil Latarche
Grace Zhang , Neil Latarche
Jianchang Mao , Uma Mahadevan
Rajat Mukherjee , Uma Mahadevan
Prabhakar Raghavan , Uma Mahadevan
Michel Tourn , Uma Mahadevan
John Wang , Uma Mahadevan
Grace Zhang , Uma Mahadevan
Jianchang Mao , Rajat Mukherjee
Jianchang Mao , Prabhakar Raghavan
Jianchang Mao , Michel Tourn
Jianchang Mao , John Wang
Grace Zhang , Jianchang Mao
Prabhakar Raghavan , Rajat Mukherjee
Michel Tourn , Rajat Mukherjee
John Wang , Rajat Mukherjee
Grace Zhang , Rajat Mukherjee
Michel Tourn , Prabhakar Raghavan
John Wang , Prabhakar Raghavan
Grace Zhang , Prabhakar Raghavan
John Wang , Michel Tourn
Grace Zhang , Michel Tourn
Grace Zhang , John Wang
Anindya Datta , Kaushik Dutta
Anindya Datta , Helen M. Thomas
Anindya Datta , Debra E. VanderMeer
Anindya Datta , Krithi Ramamritham
Anindya Datta , Dan Fishman
Helen M. Thomas , Kaushik Dutta
Debra E. VanderMeer , Kaushik Dutta
Kaushik Dutta , Krithi Ramamritham
Dan Fishman , Kaushik Dutta
Debra E. VanderMeer , Helen M. Thomas
Helen M. Thomas , Krithi Ramamritham
Dan Fishman , Helen M. Thomas
Debra E. VanderMeer , Krithi Ramamritham
Dan Fishman , Debra E. VanderMeer
Dan Fishman , Krithi Ramamritham
Michael J. Carey , Steve Kirsch
Mary Roth , Michael J. Carey
Bert Van der Linden , Michael J. Carey
Michael J. Carey , Nicolas Adiba
Michael Blow , Michael J. Carey
Daniela Florescu , Michael J. Carey
David Li , Michael J. Carey
Ivan Oprencak , Michael J. Carey
Michael J. Carey , Rajendra Panwar
Michael J. Carey , Runping Qi
David Rieber , Michael J. Carey
John C. Shafer , Michael J. Carey
Brian Sterling , Michael J. Carey
Michael J. Carey , Tolga Urhan
Brian Vickery , Michael J. Carey
Dan Wineman , Michael J. Carey
Kuan Yee , Michael J. Carey
Mary Roth , Steve Kirsch
Bert Van der Linden , Steve Kirsch
Nicolas Adiba , Steve Kirsch
Michael Blow , Steve Kirsch
Daniela Florescu , Steve Kirsch
David Li , Steve Kirsch
Ivan Oprencak , Steve Kirsch
Rajendra Panwar , Steve Kirsch
Runping Qi , Steve Kirsch
David Rieber , Steve Kirsch
John C. Shafer , Steve Kirsch
Brian Sterling , Steve Kirsch
Steve Kirsch , Tolga Urhan
Brian Vickery , Steve Kirsch
Dan Wineman , Steve Kirsch
Kuan Yee , Steve Kirsch
Bert Van der Linden , Mary Roth
Mary Roth , Nicolas Adiba
Mary Roth , Michael Blow
Daniela Florescu , Mary Roth
David Li , Mary Roth
Ivan Oprencak , Mary Roth
Mary Roth , Rajendra Panwar
Mary Roth , Runping Qi
David Rieber , Mary Roth
John C. Shafer , Mary Roth
Brian Sterling , Mary Roth
Mary Roth , Tolga Urhan
Brian Vickery , Mary Roth
Dan Wineman , Mary Roth
Kuan Yee , Mary Roth
Bert Van der Linden , Nicolas Adiba
Bert Van der Linden , Michael Blow
Bert Van der Linden , Daniela Florescu
Bert Van der Linden , David Li
Bert Van der Linden , Ivan Oprencak
Bert Van der Linden , Rajendra Panwar
Bert Van der Linden , Runping Qi
Bert Van der Linden , David Rieber
Bert Van der Linden , John C. Shafer
Bert Van der Linden , Brian Sterling
Bert Van der Linden , Tolga Urhan
Bert Van der Linden , Brian Vickery
Bert Van der Linden , Dan Wineman
Bert Van der Linden , Kuan Yee
Michael Blow , Nicolas Adiba
Daniela Florescu , Nicolas Adiba
David Li , Nicolas Adiba
Ivan Oprencak , Nicolas Adiba
Nicolas Adiba , Rajendra Panwar
Nicolas Adiba , Runping Qi
David Rieber , Nicolas Adiba
John C. Shafer , Nicolas Adiba
Brian Sterling , Nicolas Adiba
Nicolas Adiba , Tolga Urhan
Brian Vickery , Nicolas Adiba
Dan Wineman , Nicolas Adiba
Kuan Yee , Nicolas Adiba
Daniela Florescu , Michael Blow
David Li , Michael Blow
Ivan Oprencak , Michael Blow
Michael Blow , Rajendra Panwar
Michael Blow , Runping Qi
David Rieber , Michael Blow
John C. Shafer , Michael Blow
Brian Sterling , Michael Blow
Michael Blow , Tolga Urhan
Brian Vickery , Michael Blow
Dan Wineman , Michael Blow
Kuan Yee , Michael Blow
Daniela Florescu , David Li
Daniela Florescu , Ivan Oprencak
Daniela Florescu , Rajendra Panwar
Daniela Florescu , Runping Qi
Daniela Florescu , David Rieber
Daniela Florescu , John C. Shafer
Brian Sterling , Daniela Florescu
Daniela Florescu , Tolga Urhan
Brian Vickery , Daniela Florescu
Dan Wineman , Daniela Florescu
Daniela Florescu , Kuan Yee
David Li , Ivan Oprencak
David Li , Rajendra Panwar
David Li , Runping Qi
David Li , David Rieber
David Li , John C. Shafer
Brian Sterling , David Li
David Li , Tolga Urhan
Brian Vickery , David Li
Dan Wineman , David Li
David Li , Kuan Yee
Ivan Oprencak , Rajendra Panwar
Ivan Oprencak , Runping Qi
David Rieber , Ivan Oprencak
Ivan Oprencak , John C. Shafer
Brian Sterling , Ivan Oprencak
Ivan Oprencak , Tolga Urhan
Brian Vickery , Ivan Oprencak
Dan Wineman , Ivan Oprencak
Ivan Oprencak , Kuan Yee
Rajendra Panwar , Runping Qi
David Rieber , Rajendra Panwar
John C. Shafer , Rajendra Panwar
Brian Sterling , Rajendra Panwar
Rajendra Panwar , Tolga Urhan
Brian Vickery , Rajendra Panwar
Dan Wineman , Rajendra Panwar
Kuan Yee , Rajendra Panwar
David Rieber , Runping Qi
John C. Shafer , Runping Qi
Brian Sterling , Runping Qi
Runping Qi , Tolga Urhan
Brian Vickery , Runping Qi
Dan Wineman , Runping Qi
Kuan Yee , Runping Qi
David Rieber , John C. Shafer
Brian Sterling , David Rieber
David Rieber , Tolga Urhan
Brian Vickery , David Rieber
Dan Wineman , David Rieber
David Rieber , Kuan Yee
Brian Sterling , John C. Shafer
John C. Shafer , Tolga Urhan
Brian Vickery , John C. Shafer
Dan Wineman , John C. Shafer
John C. Shafer , Kuan Yee
Brian Sterling , Tolga Urhan
Brian Sterling , Brian Vickery
Brian Sterling , Dan Wineman
Brian Sterling , Kuan Yee
Brian Vickery , Tolga Urhan
Dan Wineman , Tolga Urhan
Kuan Yee , Tolga Urhan
Brian Vickery , Dan Wineman
Brian Vickery , Kuan Yee
Dan Wineman , Kuan Yee
Srinivasa Narayanan , Subbu N. Subramanian
John Catozzi , Sorana Rabinovici
Tirthankar Lahiri , Vinay Srihari
Tirthankar Lahiri , Wilson Chan
N. MacNaughton , Tirthankar Lahiri
Sashikanth Chandrasekaran , Tirthankar Lahiri
Vinay Srihari , Wilson Chan
N. MacNaughton , Vinay Srihari
Sashikanth Chandrasekaran , Vinay Srihari
N. MacNaughton , Wilson Chan
Sashikanth Chandrasekaran , Wilson Chan
N. MacNaughton , Sashikanth Chandrasekaran
Le Gruenwald , Leonard Brown
Motomichi Toyama , Yoko Maeda
Boualem Benatallah , Liangzhao Zeng
Liangzhao Zeng , Phuong Nguyen
Anne H. H. Ngu , Liangzhao Zeng
Boualem Benatallah , Phuong Nguyen
Anne H. H. Ngu , Boualem Benatallah
Anne H. H. Ngu , Phuong Nguyen
K. Sel&ccedil;uk Candan , Wen-Syan Li
Wang-Pin Hsiung , Wen-Syan Li
Oliver Po , Wen-Syan Li
Divyakant Agrawal , Wen-Syan Li
Qiong Luo , Wen-Syan Li
Wei-Kuang Waine Huang , Wen-Syan Li
Wen-Syan Li , Yusuf Akca
Cemal Yilmaz , Wen-Syan Li
K. Sel&ccedil;uk Candan , Wang-Pin Hsiung
K. Sel&ccedil;uk Candan , Oliver Po
Divyakant Agrawal , K. Sel&ccedil;uk Candan
K. Sel&ccedil;uk Candan , Qiong Luo
K. Sel&ccedil;uk Candan , Wei-Kuang Waine Huang
K. Sel&ccedil;uk Candan , Yusuf Akca
Cemal Yilmaz , K. Sel&ccedil;uk Candan
Oliver Po , Wang-Pin Hsiung
Divyakant Agrawal , Wang-Pin Hsiung
Qiong Luo , Wang-Pin Hsiung
Wang-Pin Hsiung , Wei-Kuang Waine Huang
Wang-Pin Hsiung , Yusuf Akca
Cemal Yilmaz , Wang-Pin Hsiung
Divyakant Agrawal , Oliver Po
Oliver Po , Qiong Luo
Oliver Po , Wei-Kuang Waine Huang
Oliver Po , Yusuf Akca
Cemal Yilmaz , Oliver Po
Divyakant Agrawal , Qiong Luo
Divyakant Agrawal , Wei-Kuang Waine Huang
Divyakant Agrawal , Yusuf Akca
Cemal Yilmaz , Divyakant Agrawal
Qiong Luo , Wei-Kuang Waine Huang
Qiong Luo , Yusuf Akca
Cemal Yilmaz , Qiong Luo
Wei-Kuang Waine Huang , Yusuf Akca
Cemal Yilmaz , Wei-Kuang Waine Huang
Cemal Yilmaz , Yusuf Akca
Seema Sundara , Ying Hu
Seema Sundara , Timothy Chorma
Nipun Agarwal , Seema Sundara
Jagannathan Srinivasan , Seema Sundara
Timothy Chorma , Ying Hu
Nipun Agarwal , Ying Hu
Jagannathan Srinivasan , Ying Hu
Nipun Agarwal , Timothy Chorma
Jagannathan Srinivasan , Timothy Chorma
Jagannathan Srinivasan , Nipun Agarwal
Atsuyuki Morishima , Seiichi Koizumi
Atsuyuki Morishima , Hiroyuki Kitagawa
Atsuyuki Morishima , Satoshi Takano
Hiroyuki Kitagawa , Seiichi Koizumi
Satoshi Takano , Seiichi Koizumi
Hiroyuki Kitagawa , Satoshi Takano
Henk Ernst Blok , Menzo Windhouwer
Henk Ernst Blok , Roelof van Zwol
Henk Ernst Blok , Milan Petkovic
Henk Ernst Blok , Peter M. G. Apers
Henk Ernst Blok , Martin L. Kersten
Henk Ernst Blok , Willem Jonker
Menzo Windhouwer , Roelof van Zwol
Menzo Windhouwer , Milan Petkovic
Menzo Windhouwer , Peter M. G. Apers
Martin L. Kersten , Menzo Windhouwer
Menzo Windhouwer , Willem Jonker
Milan Petkovic , Roelof van Zwol
Peter M. G. Apers , Roelof van Zwol
Martin L. Kersten , Roelof van Zwol
Roelof van Zwol , Willem Jonker
