Anthony D. Worrall , Arthur E. C. Pece
A. Ribeiro , M. Barczyk
M. Barczyk , Yu. Ryabov
D. Schweiger , M. Barczyk
Igor Soloviev , M. Barczyk
H. Wolters , M. Barczyk
D. Burckhart-Chromek , Mihai Caprini
D. Burckhart-Chromek , M. Dobson
D. Burckhart-Chromek , J. Flammer
D. Burckhart-Chromek , R. Hart
D. Burckhart-Chromek , R. Jones
Andrei Kazarov , D. Burckhart-Chromek
D. Burckhart-Chromek , S. Kolos
D. Burckhart-Chromek , V. Kotov
D. Burckhart-Chromek , Dietrich Liko
D. Burckhart-Chromek , Levi Lucio
D. Burckhart-Chromek , L. Mapelli
D. Burckhart-Chromek , M. Mineev
D. Burckhart-Chromek , L. Moneta
D. Burckhart-Chromek , I. Papadopoulos
D. Burckhart-Chromek , M. Nassiakou
D. Burckhart-Chromek , N. Parrington
D. Burckhart-Chromek , Luis Pedro
A. Ribeiro , D. Burckhart-Chromek
D. Burckhart-Chromek , Yu. Ryabov
D. Burckhart-Chromek , D. Schweiger
D. Burckhart-Chromek , Igor Soloviev
D. Burckhart-Chromek , H. Wolters
M. Dobson , Mihai Caprini
J. Flammer , Mihai Caprini
Mihai Caprini , R. Hart
Mihai Caprini , R. Jones
Andrei Kazarov , Mihai Caprini
Mihai Caprini , S. Kolos
Mihai Caprini , V. Kotov
Dietrich Liko , Mihai Caprini
Levi Lucio , Mihai Caprini
L. Mapelli , Mihai Caprini
M. Mineev , Mihai Caprini
L. Moneta , Mihai Caprini
I. Papadopoulos , Mihai Caprini
M. Nassiakou , Mihai Caprini
Mihai Caprini , N. Parrington
Luis Pedro , Mihai Caprini
A. Ribeiro , Mihai Caprini
Mihai Caprini , Yu. Ryabov
D. Schweiger , Mihai Caprini
Igor Soloviev , Mihai Caprini
H. Wolters , Mihai Caprini
J. Flammer , M. Dobson
M. Dobson , R. Hart
M. Dobson , R. Jones
Andrei Kazarov , M. Dobson
M. Dobson , S. Kolos
M. Dobson , V. Kotov
Dietrich Liko , M. Dobson
Levi Lucio , M. Dobson
L. Mapelli , M. Dobson
M. Dobson , M. Mineev
L. Moneta , M. Dobson
I. Papadopoulos , M. Dobson
M. Dobson , M. Nassiakou
M. Dobson , N. Parrington
Luis Pedro , M. Dobson
A. Ribeiro , M. Dobson
M. Dobson , Yu. Ryabov
D. Schweiger , M. Dobson
Igor Soloviev , M. Dobson
H. Wolters , M. Dobson
J. Flammer , R. Hart
J. Flammer , R. Jones
Andrei Kazarov , J. Flammer
J. Flammer , S. Kolos
J. Flammer , V. Kotov
Dietrich Liko , J. Flammer
J. Flammer , Levi Lucio
J. Flammer , L. Mapelli
J. Flammer , M. Mineev
J. Flammer , L. Moneta
I. Papadopoulos , J. Flammer
J. Flammer , M. Nassiakou
J. Flammer , N. Parrington
J. Flammer , Luis Pedro
A. Ribeiro , J. Flammer
J. Flammer , Yu. Ryabov
D. Schweiger , J. Flammer
Igor Soloviev , J. Flammer
H. Wolters , J. Flammer
R. Hart , R. Jones
Andrei Kazarov , R. Hart
R. Hart , S. Kolos
R. Hart , V. Kotov
Dietrich Liko , R. Hart
Levi Lucio , R. Hart
L. Mapelli , R. Hart
M. Mineev , R. Hart
L. Moneta , R. Hart
I. Papadopoulos , R. Hart
M. Nassiakou , R. Hart
N. Parrington , R. Hart
Luis Pedro , R. Hart
A. Ribeiro , R. Hart
R. Hart , Yu. Ryabov
D. Schweiger , R. Hart
Igor Soloviev , R. Hart
H. Wolters , R. Hart
Andrei Kazarov , R. Jones
R. Jones , S. Kolos
R. Jones , V. Kotov
Dietrich Liko , R. Jones
Levi Lucio , R. Jones
L. Mapelli , R. Jones
M. Mineev , R. Jones
L. Moneta , R. Jones
I. Papadopoulos , R. Jones
M. Nassiakou , R. Jones
N. Parrington , R. Jones
Luis Pedro , R. Jones
A. Ribeiro , R. Jones
R. Jones , Yu. Ryabov
D. Schweiger , R. Jones
Igor Soloviev , R. Jones
H. Wolters , R. Jones
Andrei Kazarov , S. Kolos
Andrei Kazarov , V. Kotov
Andrei Kazarov , Dietrich Liko
Andrei Kazarov , Levi Lucio
Andrei Kazarov , L. Mapelli
Andrei Kazarov , M. Mineev
Andrei Kazarov , L. Moneta
Andrei Kazarov , I. Papadopoulos
Andrei Kazarov , M. Nassiakou
Andrei Kazarov , N. Parrington
Andrei Kazarov , Luis Pedro
A. Ribeiro , Andrei Kazarov
Andrei Kazarov , Yu. Ryabov
Andrei Kazarov , D. Schweiger
Andrei Kazarov , Igor Soloviev
Andrei Kazarov , H. Wolters
S. Kolos , V. Kotov
Dietrich Liko , S. Kolos
Levi Lucio , S. Kolos
L. Mapelli , S. Kolos
M. Mineev , S. Kolos
L. Moneta , S. Kolos
I. Papadopoulos , S. Kolos
M. Nassiakou , S. Kolos
N. Parrington , S. Kolos
Luis Pedro , S. Kolos
A. Ribeiro , S. Kolos
S. Kolos , Yu. Ryabov
D. Schweiger , S. Kolos
Igor Soloviev , S. Kolos
H. Wolters , S. Kolos
Dietrich Liko , V. Kotov
Levi Lucio , V. Kotov
L. Mapelli , V. Kotov
M. Mineev , V. Kotov
L. Moneta , V. Kotov
I. Papadopoulos , V. Kotov
M. Nassiakou , V. Kotov
N. Parrington , V. Kotov
Luis Pedro , V. Kotov
A. Ribeiro , V. Kotov
V. Kotov , Yu. Ryabov
D. Schweiger , V. Kotov
Igor Soloviev , V. Kotov
H. Wolters , V. Kotov
Dietrich Liko , Levi Lucio
Dietrich Liko , L. Mapelli
Dietrich Liko , M. Mineev
Dietrich Liko , L. Moneta
Dietrich Liko , I. Papadopoulos
Dietrich Liko , M. Nassiakou
Dietrich Liko , N. Parrington
Dietrich Liko , Luis Pedro
A. Ribeiro , Dietrich Liko
Dietrich Liko , Yu. Ryabov
D. Schweiger , Dietrich Liko
Dietrich Liko , Igor Soloviev
Dietrich Liko , H. Wolters
L. Mapelli , Levi Lucio
Levi Lucio , M. Mineev
L. Moneta , Levi Lucio
I. Papadopoulos , Levi Lucio
Levi Lucio , M. Nassiakou
Levi Lucio , N. Parrington
Levi Lucio , Luis Pedro
A. Ribeiro , Levi Lucio
Levi Lucio , Yu. Ryabov
D. Schweiger , Levi Lucio
Igor Soloviev , Levi Lucio
H. Wolters , Levi Lucio
L. Mapelli , M. Mineev
L. Mapelli , L. Moneta
I. Papadopoulos , L. Mapelli
L. Mapelli , M. Nassiakou
L. Mapelli , N. Parrington
L. Mapelli , Luis Pedro
A. Ribeiro , L. Mapelli
L. Mapelli , Yu. Ryabov
D. Schweiger , L. Mapelli
Igor Soloviev , L. Mapelli
H. Wolters , L. Mapelli
L. Moneta , M. Mineev
I. Papadopoulos , M. Mineev
M. Mineev , M. Nassiakou
M. Mineev , N. Parrington
Luis Pedro , M. Mineev
A. Ribeiro , M. Mineev
M. Mineev , Yu. Ryabov
D. Schweiger , M. Mineev
Igor Soloviev , M. Mineev
H. Wolters , M. Mineev
I. Papadopoulos , L. Moneta
L. Moneta , M. Nassiakou
L. Moneta , N. Parrington
L. Moneta , Luis Pedro
A. Ribeiro , L. Moneta
L. Moneta , Yu. Ryabov
D. Schweiger , L. Moneta
Igor Soloviev , L. Moneta
H. Wolters , L. Moneta
I. Papadopoulos , M. Nassiakou
I. Papadopoulos , N. Parrington
I. Papadopoulos , Luis Pedro
A. Ribeiro , I. Papadopoulos
I. Papadopoulos , Yu. Ryabov
D. Schweiger , I. Papadopoulos
I. Papadopoulos , Igor Soloviev
H. Wolters , I. Papadopoulos
M. Nassiakou , N. Parrington
Luis Pedro , M. Nassiakou
A. Ribeiro , M. Nassiakou
M. Nassiakou , Yu. Ryabov
D. Schweiger , M. Nassiakou
Igor Soloviev , M. Nassiakou
H. Wolters , M. Nassiakou
Luis Pedro , N. Parrington
A. Ribeiro , N. Parrington
N. Parrington , Yu. Ryabov
D. Schweiger , N. Parrington
Igor Soloviev , N. Parrington
H. Wolters , N. Parrington
A. Ribeiro , Luis Pedro
Luis Pedro , Yu. Ryabov
D. Schweiger , Luis Pedro
Igor Soloviev , Luis Pedro
H. Wolters , Luis Pedro
A. Ribeiro , Yu. Ryabov
A. Ribeiro , D. Schweiger
A. Ribeiro , Igor Soloviev
A. Ribeiro , H. Wolters
D. Schweiger , Yu. Ryabov
Igor Soloviev , Yu. Ryabov
H. Wolters , Yu. Ryabov
D. Schweiger , Igor Soloviev
D. Schweiger , H. Wolters
H. Wolters , Igor Soloviev
Amey V. Laud , Sourav S. Bhowmick
Amey V. Laud , Pedro Cruz
Amey V. Laud , Dadabhai T. Singh
Amey V. Laud , George Rajesh
Pedro Cruz , Sourav S. Bhowmick
Dadabhai T. Singh , Sourav S. Bhowmick
George Rajesh , Sourav S. Bhowmick
Dadabhai T. Singh , Pedro Cruz
George Rajesh , Pedro Cruz
Dadabhai T. Singh , George Rajesh
Ihab F. Ilyas , Walid G. Aref
Ahmed K. Elmagarmid , Ihab F. Ilyas
Ahmed K. Elmagarmid , Walid G. Aref
Beno&icirc;t Dageville , Mohamed Za&iuml;t
Albrecht Schmidt , Florian Waas
Albrecht Schmidt , Martin L. Kersten
Albrecht Schmidt , Michael J. Carey
Albrecht Schmidt , Ioana Manolescu
Albrecht Schmidt , Ralph Busse
Florian Waas , Martin L. Kersten
Florian Waas , Michael J. Carey
Florian Waas , Ioana Manolescu
Florian Waas , Ralph Busse
Martin L. Kersten , Michael J. Carey
Ioana Manolescu , Martin L. Kersten
Martin L. Kersten , Ralph Busse
Ioana Manolescu , Michael J. Carey
Michael J. Carey , Ralph Busse
Ioana Manolescu , Ralph Busse
Alberto Pan , Juan Raposo
Alberto Pan , Manuel &Aacute;lvarez
Alberto Pan , Paula Montoto
Alberto Pan , Vicente Orjales
Alberto Pan , Justo Hidalgo
Alberto Pan , Luc&iacute;a Ardao
Alberto Pan , Anastasio Molano
&Aacute;ngel Vi&ntilde;a , Alberto Pan
Juan Raposo , Manuel &Aacute;lvarez
Juan Raposo , Paula Montoto
Juan Raposo , Vicente Orjales
Juan Raposo , Justo Hidalgo
Juan Raposo , Luc&iacute;a Ardao
Anastasio Molano , Juan Raposo
&Aacute;ngel Vi&ntilde;a , Juan Raposo
Manuel &Aacute;lvarez , Paula Montoto
Manuel &Aacute;lvarez , Vicente Orjales
Justo Hidalgo , Manuel &Aacute;lvarez
Luc&iacute;a Ardao , Manuel &Aacute;lvarez
Anastasio Molano , Manuel &Aacute;lvarez
&Aacute;ngel Vi&ntilde;a , Manuel &Aacute;lvarez
Paula Montoto , Vicente Orjales
Justo Hidalgo , Paula Montoto
Luc&iacute;a Ardao , Paula Montoto
Anastasio Molano , Paula Montoto
&Aacute;ngel Vi&ntilde;a , Paula Montoto
Justo Hidalgo , Vicente Orjales
Luc&iacute;a Ardao , Vicente Orjales
Anastasio Molano , Vicente Orjales
&Aacute;ngel Vi&ntilde;a , Vicente Orjales
Justo Hidalgo , Luc&iacute;a Ardao
Anastasio Molano , Justo Hidalgo
&Aacute;ngel Vi&ntilde;a , Justo Hidalgo
Anastasio Molano , Luc&iacute;a Ardao
&Aacute;ngel Vi&ntilde;a , Luc&iacute;a Ardao
&Aacute;ngel Vi&ntilde;a , Anastasio Molano
Gerhard K&ouml;stler , Werner Kie&szlig;ling
Katsumi Takahashi , Yusuke Ohura
Iko Pramudiono , Yusuke Ohura
Masaru Kitsuregawa , Yusuke Ohura
Iko Pramudiono , Katsumi Takahashi
Katsumi Takahashi , Masaru Kitsuregawa
Iko Pramudiono , Masaru Kitsuregawa
Wang-Pin Hsiung , Wen-Syan Li
Dmitri V. Kalashnikov , Wen-Syan Li
Radu Sion , Wen-Syan Li
Oliver Po , Wen-Syan Li
Divyakant Agrawal , Wen-Syan Li
K. Sel&ccedil;uk Candan , Wen-Syan Li
Dmitri V. Kalashnikov , Wang-Pin Hsiung
Radu Sion , Wang-Pin Hsiung
Oliver Po , Wang-Pin Hsiung
Divyakant Agrawal , Wang-Pin Hsiung
K. Sel&ccedil;uk Candan , Wang-Pin Hsiung
Dmitri V. Kalashnikov , Radu Sion
Dmitri V. Kalashnikov , Oliver Po
Divyakant Agrawal , Dmitri V. Kalashnikov
Dmitri V. Kalashnikov , K. Sel&ccedil;uk Candan
Oliver Po , Radu Sion
Divyakant Agrawal , Radu Sion
K. Sel&ccedil;uk Candan , Radu Sion
Divyakant Agrawal , Oliver Po
K. Sel&ccedil;uk Candan , Oliver Po
Divyakant Agrawal , K. Sel&ccedil;uk Candan
Charu C. Aggarwal , Philip S. Yu
Gerhard Weikum , German Shegalov
German Shegalov , Roger S. Barga
David B. Lomet , German Shegalov
Gerhard Weikum , Roger S. Barga
David B. Lomet , Gerhard Weikum
David B. Lomet , Roger S. Barga
Markus Keidl , Stefan Seltzsam
Konrad Stocker , Markus Keidl
Alfons Kemper , Markus Keidl
Konrad Stocker , Stefan Seltzsam
Alfons Kemper , Stefan Seltzsam
Alfons Kemper , Konrad Stocker
Boualem Benatallah , Quan Z. Sheng
Marlon Dumas , Quan Z. Sheng
Eileen Oi-Yan Mak , Quan Z. Sheng
Boualem Benatallah , Marlon Dumas
Boualem Benatallah , Eileen Oi-Yan Mak
Eileen Oi-Yan Mak , Marlon Dumas
Rakesh Agrawal , Ramakrishnan Srikant
Rakesh Agrawal , Yirong Xu
Ramakrishnan Srikant , Yirong Xu
Mong-Li Lee , Wynne Hsu
Beng Chin Ooi , Wynne Hsu
Pranab Kumar Mohanty , Wynne Hsu
Keng Lik Teo , Wynne Hsu
Chenyi Xia , Wynne Hsu
Beng Chin Ooi , Mong-Li Lee
Mong-Li Lee , Pranab Kumar Mohanty
Keng Lik Teo , Mong-Li Lee
Chenyi Xia , Mong-Li Lee
Beng Chin Ooi , Pranab Kumar Mohanty
Beng Chin Ooi , Keng Lik Teo
Beng Chin Ooi , Chenyi Xia
Keng Lik Teo , Pranab Kumar Mohanty
Chenyi Xia , Pranab Kumar Mohanty
Chenyi Xia , Keng Lik Teo
Alan Kwan , Kam-yiu Lam
Kam-yiu Lam , Krithi Ramamritham
Alan Kwan , Krithi Ramamritham
Katja Tham , Stephan Heymann
Axel Kilian , Stephan Heymann
Gunnar Wegner , Stephan Heymann
Peter Rieger , Stephan Heymann
Dieter Merkel , Stephan Heymann
Johann Christoph Freytag , Stephan Heymann
Axel Kilian , Katja Tham
Gunnar Wegner , Katja Tham
Katja Tham , Peter Rieger
Dieter Merkel , Katja Tham
Johann Christoph Freytag , Katja Tham
Axel Kilian , Gunnar Wegner
Axel Kilian , Peter Rieger
Axel Kilian , Dieter Merkel
Axel Kilian , Johann Christoph Freytag
Gunnar Wegner , Peter Rieger
Dieter Merkel , Gunnar Wegner
Gunnar Wegner , Johann Christoph Freytag
Dieter Merkel , Peter Rieger
Johann Christoph Freytag , Peter Rieger
Dieter Merkel , Johann Christoph Freytag
Mariano Cilia , P. Hasselmayer
Alejandro P. Buchmann , Mariano Cilia
Alejandro P. Buchmann , P. Hasselmayer
Amarnath Gupta , Simone Santini
Christian Mathis , Wolfgang Mahnke
Hans-Peter Steiert , Wolfgang Mahnke
Christian Mathis , Hans-Peter Steiert
B. Aditya , Gaurav Bhalotia
B. Aditya , Soumen Chakrabarti
Arvind Hulgeri , B. Aditya
B. Aditya , Charuta Nakhe
B. Aditya , Parag
B. Aditya , S. Sudarshan
Gaurav Bhalotia , Soumen Chakrabarti
Arvind Hulgeri , Gaurav Bhalotia
Charuta Nakhe , Gaurav Bhalotia
Gaurav Bhalotia , Parag
Gaurav Bhalotia , S. Sudarshan
Arvind Hulgeri , Soumen Chakrabarti
Charuta Nakhe , Soumen Chakrabarti
Parag , Soumen Chakrabarti
S. Sudarshan , Soumen Chakrabarti
Arvind Hulgeri , Charuta Nakhe
Arvind Hulgeri , Parag
Arvind Hulgeri , S. Sudarshan
Charuta Nakhe , Parag
Charuta Nakhe , S. Sudarshan
Parag , S. Sudarshan
Omar Benjelloun , Serge Abiteboul
Ioana Manolescu , Serge Abiteboul
Serge Abiteboul , Tova Milo
Roger Weber , Serge Abiteboul
Ioana Manolescu , Omar Benjelloun
Omar Benjelloun , Tova Milo
Omar Benjelloun , Roger Weber
Ioana Manolescu , Tova Milo
Ioana Manolescu , Roger Weber
Roger Weber , Tova Milo
Juliana Freire , Philip Bohannon
Jayant R. Haritsa , Philip Bohannon
Maya Ramanath , Philip Bohannon
Philip Bohannon , Prasan Roy
J&eacute;r&ocirc;me Sim&eacute;on , Philip Bohannon
Jayant R. Haritsa , Juliana Freire
Juliana Freire , Maya Ramanath
Juliana Freire , Prasan Roy
J&eacute;r&ocirc;me Sim&eacute;on , Juliana Freire
Jayant R. Haritsa , Maya Ramanath
Jayant R. Haritsa , Prasan Roy
J&eacute;r&ocirc;me Sim&eacute;on , Jayant R. Haritsa
Maya Ramanath , Prasan Roy
J&eacute;r&ocirc;me Sim&eacute;on , Maya Ramanath
J&eacute;r&ocirc;me Sim&eacute;on , Prasan Roy
Anandi Herlekar , Atul Deopujari
Anandi Herlekar , Krithi Ramamritham
Anandi Herlekar , Shaymsunder Gopale
Anandi Herlekar , Shridhar Shukla
Atul Deopujari , Krithi Ramamritham
Atul Deopujari , Shaymsunder Gopale
Atul Deopujari , Shridhar Shukla
Krithi Ramamritham , Shaymsunder Gopale
Krithi Ramamritham , Shridhar Shukla
Shaymsunder Gopale , Shridhar Shukla
Carmen Constantinescu , Ralf Rantzau
Ralf Rantzau , Uwe Heinkel
Holger Meinecke , Ralf Rantzau
Carmen Constantinescu , Uwe Heinkel
Carmen Constantinescu , Holger Meinecke
Holger Meinecke , Uwe Heinkel
Anuradha Bhamidipaty , Sunita Sarawagi
Alok Kirpal , Sunita Sarawagi
Chandra Mouli , Sunita Sarawagi
Alok Kirpal , Anuradha Bhamidipaty
Anuradha Bhamidipaty , Chandra Mouli
Alok Kirpal , Chandra Mouli
Haifeng Liu , Hans-Arno Jacobsen
Dennis Shasha , Philippe Bonnet
Johannes Gehrke , Minos N. Garofalakis
Peter Buneman , Sanjeev Khanna
Keishi Tajima , Peter Buneman
Peter Buneman , Wang Chiew Tan
Keishi Tajima , Sanjeev Khanna
Sanjeev Khanna , Wang Chiew Tan
Keishi Tajima , Wang Chiew Tan
Divyakant Agrawal , Mirek Riedewald
Amr El Abbadi , Mirek Riedewald
Amr El Abbadi , Divyakant Agrawal
Panos Kalnis , Wee Siong Ng
Beng Chin Ooi , Panos Kalnis
Dimitris Papadias , Panos Kalnis
Kian-Lee Tan , Panos Kalnis
Beng Chin Ooi , Wee Siong Ng
Dimitris Papadias , Wee Siong Ng
Kian-Lee Tan , Wee Siong Ng
Beng Chin Ooi , Dimitris Papadias
Beng Chin Ooi , Kian-Lee Tan
Dimitris Papadias , Kian-Lee Tan
Jeffrey F. Naughton , Stratis Viglas
Mehul A. Shah , Samuel Madden
Joseph M. Hellerstein , Samuel Madden
Samuel Madden , Vijayshankar Raman
Joseph M. Hellerstein , Mehul A. Shah
Mehul A. Shah , Vijayshankar Raman
Joseph M. Hellerstein , Vijayshankar Raman
Alin Dobra , Minos N. Garofalakis
Alin Dobra , Johannes Gehrke
Alin Dobra , Rajeev Rastogi
Johannes Gehrke , Minos N. Garofalakis
Minos N. Garofalakis , Rajeev Rastogi
Johannes Gehrke , Rajeev Rastogi
Chris Olston , Jennifer Widom
Louiqa Raschid , Vladimir Zadorozhny
Maria-Esther Vidal , Vladimir Zadorozhny
Tolga Urhan , Vladimir Zadorozhny
Laura Bright , Vladimir Zadorozhny
Louiqa Raschid , Maria-Esther Vidal
Louiqa Raschid , Tolga Urhan
Laura Bright , Louiqa Raschid
Maria-Esther Vidal , Tolga Urhan
Laura Bright , Maria-Esther Vidal
Laura Bright , Tolga Urhan
Anindya Datta , Kaushik Dutta
Anindya Datta , Helen M. Thomas
Anindya Datta , Debra E. VanderMeer
Anindya Datta , Suresha
Anindya Datta , Krithi Ramamritham
Helen M. Thomas , Kaushik Dutta
Debra E. VanderMeer , Kaushik Dutta
Kaushik Dutta , Suresha
Kaushik Dutta , Krithi Ramamritham
Debra E. VanderMeer , Helen M. Thomas
Helen M. Thomas , Suresha
Helen M. Thomas , Krithi Ramamritham
Debra E. VanderMeer , Suresha
Debra E. VanderMeer , Krithi Ramamritham
Krithi Ramamritham , Suresha
Chin-Wan Chung , Jun-Ki Min
Chin-Wan Chung , Kyuseok Shim
Jun-Ki Min , Kyuseok Shim
Philip Bohannon , Raghav Kaushik
Jeffrey F. Naughton , Raghav Kaushik
Henry F. Korth , Raghav Kaushik
Jeffrey F. Naughton , Philip Bohannon
Henry F. Korth , Philip Bohannon
Henry F. Korth , Jeffrey F. Naughton
Jingren Zhou , Kenneth A. Ross
Phillip B. Gibbons , Shimin Chen
Shimin Chen , Todd C. Mowry
Gary Valentin , Shimin Chen
Phillip B. Gibbons , Todd C. Mowry
Gary Valentin , Phillip B. Gibbons
Gary Valentin , Todd C. Mowry
Dengfeng Gao , Wei Li
Richard T. Snodgrass , Wei Li
Dengfeng Gao , Richard T. Snodgrass
Jayant R. Haritsa , Juliana Freire
Juliana Freire , Maya Ramanath
Juliana Freire , Prasan Roy
J&eacute;r&ocirc;me Sim&eacute;on , Juliana Freire
Jayant R. Haritsa , Maya Ramanath
Jayant R. Haritsa , Prasan Roy
J&eacute;r&ocirc;me Sim&eacute;on , Jayant R. Haritsa
Maya Ramanath , Prasan Roy
J&eacute;r&ocirc;me Sim&eacute;on , Maya Ramanath
J&eacute;r&ocirc;me Sim&eacute;on , Prasan Roy
Michalis Petropoulos , Yannis Papakonstantinou
Vasilis Vassalos , Yannis Papakonstantinou
Michalis Petropoulos , Vasilis Vassalos
Igor Tatarinov , Stratis Viglas
Igor Tatarinov , Kevin S. Beyer
Igor Tatarinov , Jayavel Shanmugasundaram
Eugene J. Shekita , Igor Tatarinov
Chun Zhang , Igor Tatarinov
Kevin S. Beyer , Stratis Viglas
Jayavel Shanmugasundaram , Stratis Viglas
Eugene J. Shekita , Stratis Viglas
Chun Zhang , Stratis Viglas
Jayavel Shanmugasundaram , Kevin S. Beyer
Eugene J. Shekita , Kevin S. Beyer
Chun Zhang , Kevin S. Beyer
Eugene J. Shekita , Jayavel Shanmugasundaram
Chun Zhang , Jayavel Shanmugasundaram
Chun Zhang , Eugene J. Shekita
Balakrishna R. Iyer , Hakan Hacig&uuml;m&uuml;s
Chen Li , Hakan Hacig&uuml;m&uuml;s
Hakan Hacig&uuml;m&uuml;s , Sharad Mehrotra
Balakrishna R. Iyer , Chen Li
Balakrishna R. Iyer , Sharad Mehrotra
Chen Li , Sharad Mehrotra
Gerhard Weikum , Michael Gillmann
Michael Gillmann , Wolfgang Wonner
Gerhard Weikum , Wolfgang Wonner
Tamraparni Dasu , Theodore Johnson
S. Muthukrishnan , Tamraparni Dasu
Tamraparni Dasu , Vladislav Shkapenyuk
S. Muthukrishnan , Theodore Johnson
Theodore Johnson , Vladislav Shkapenyuk
S. Muthukrishnan , Vladislav Shkapenyuk
Curt J. Ellmann , Gang Luo
Gang Luo , Peter J. Haas
Gang Luo , Jeffrey F. Naughton
Curt J. Ellmann , Peter J. Haas
Curt J. Ellmann , Jeffrey F. Naughton
Jeffrey F. Naughton , Peter J. Haas
Nicolas Bruno , Surajit Chaudhuri
Joseph M. Hellerstein , Vijayshankar Raman
H. V. Jagadish , Sudipto Guha
Nick Koudas , Sudipto Guha
Divesh Srivastava , Sudipto Guha
Sudipto Guha , Ting Yu
H. V. Jagadish , Nick Koudas
Divesh Srivastava , H. V. Jagadish
H. V. Jagadish , Ting Yu
Divesh Srivastava , Nick Koudas
Nick Koudas , Ting Yu
Divesh Srivastava , Ting Yu
Nick Koudas , Nicolas Bruno
Divesh Srivastava , Nicolas Bruno
Divesh Srivastava , Nick Koudas
Arjen P. de Vries , Nikos Mamoulis
Arjen P. de Vries , Niels Nes
Arjen P. de Vries , Martin L. Kersten
Niels Nes , Nikos Mamoulis
Martin L. Kersten , Nikos Mamoulis
Martin L. Kersten , Niels Nes
Dimitris Papadias , Yufei Tao
Kevin Chen-Chuan Chang , Seung-won Hwang
Minos N. Garofalakis , Neoklis Polyzotis
Like Gao , Xiaoyang Sean Wang
Kyu-Young Whang , Yang-Sae Moon
Wook-Shin Han , Yang-Sae Moon
Kyu-Young Whang , Wook-Shin Han
Haixun Wang , Wei Wang
Haixun Wang , Jiong Yang
Haixun Wang , Philip S. Yu
Jiong Yang , Wei Wang
Philip S. Yu , Wei Wang
Jiong Yang , Philip S. Yu
Jiong Yang , Wei Wang
Jiong Yang , Philip S. Yu
Jiawei Han , Jiong Yang
Philip S. Yu , Wei Wang
Jiawei Han , Wei Wang
Jiawei Han , Philip S. Yu
Cecilia Magdalena Procopiuc , Michael Jones
Cecilia Magdalena Procopiuc , Pankaj K. Agarwal
Cecilia Magdalena Procopiuc , T. M. Murali
Michael Jones , Pankaj K. Agarwal
Michael Jones , T. M. Murali
Pankaj K. Agarwal , T. M. Murali
Nitin Thaper , Sudipto Guha
Nitin Thaper , Piotr Indyk
Nick Koudas , Nitin Thaper
Piotr Indyk , Sudipto Guha
Nick Koudas , Sudipto Guha
Nick Koudas , Piotr Indyk
Chin-Wan Chung , Yong-Jin Choi
Antonios Deligiannakis , Yannis Sismanis
Nick Roussopoulos , Yannis Sismanis
Yannis Kotidis , Yannis Sismanis
Antonios Deligiannakis , Nick Roussopoulos
Antonios Deligiannakis , Yannis Kotidis
Nick Roussopoulos , Yannis Kotidis
Minos N. Garofalakis , Phillip B. Gibbons
Ashish Kumar Gupta , Surajit Chaudhuri
Surajit Chaudhuri , Vivek R. Narasayya
Ashish Kumar Gupta , Vivek R. Narasayya
C. Mohan , Suparna Bhattacharya
Karen Brannon , Suparna Bhattacharya
Inderpal Narang , Suparna Bhattacharya
Hui-I Hsiao , Suparna Bhattacharya
Mahadevan Subramanian , Suparna Bhattacharya
C. Mohan , Karen Brannon
C. Mohan , Inderpal Narang
C. Mohan , Hui-I Hsiao
C. Mohan , Mahadevan Subramanian
Inderpal Narang , Karen Brannon
Hui-I Hsiao , Karen Brannon
Karen Brannon , Mahadevan Subramanian
Hui-I Hsiao , Inderpal Narang
Inderpal Narang , Mahadevan Subramanian
Hui-I Hsiao , Mahadevan Subramanian
Asuman Dogac , Yusuf Tambag
Asuman Dogac , Pinar Pembecioglu
Asuman Dogac , Sait Pektas
Asuman Dogac , Gokce Laleci
Asuman Dogac , Gokhan Kurt
Asuman Dogac , Serkan Toprak
Asuman Dogac , Yildiray Kabak
Pinar Pembecioglu , Yusuf Tambag
Sait Pektas , Yusuf Tambag
Gokce Laleci , Yusuf Tambag
Gokhan Kurt , Yusuf Tambag
Serkan Toprak , Yusuf Tambag
Yildiray Kabak , Yusuf Tambag
Pinar Pembecioglu , Sait Pektas
Gokce Laleci , Pinar Pembecioglu
Gokhan Kurt , Pinar Pembecioglu
Pinar Pembecioglu , Serkan Toprak
Pinar Pembecioglu , Yildiray Kabak
Gokce Laleci , Sait Pektas
Gokhan Kurt , Sait Pektas
Sait Pektas , Serkan Toprak
Sait Pektas , Yildiray Kabak
Gokce Laleci , Gokhan Kurt
Gokce Laleci , Serkan Toprak
Gokce Laleci , Yildiray Kabak
Gokhan Kurt , Serkan Toprak
Gokhan Kurt , Yildiray Kabak
Serkan Toprak , Yildiray Kabak
Peter M. Schwarz , Vanja Josifovski
Laura M. Haas , Vanja Josifovski
Eileen Tien Lin , Vanja Josifovski
Laura M. Haas , Peter M. Schwarz
Eileen Tien Lin , Peter M. Schwarz
Eileen Tien Lin , Laura M. Haas
Ivan T. Bowman , Peter Bumbulis
Kothuri Venkata Ravi Kanth , Siva Ravada
Daniel Abugov , Kothuri Venkata Ravi Kanth
Daniel Abugov , Siva Ravada
Chun Zhang , Jun Rao
Jun Rao , Nimrod Megiddo
Guy M. Lohman , Jun Rao
